title,author,year_published,edition_count,open_library_key,queried_author,description
"Society Must Be Defended: Lectures at the Collège de France, 1975-1976",Michel Foucault,,1,/book/show/771816.Society_Must_Be_Defended,Michel Foucault,"An examination of relations between war and politics From 1971 until his death in 1984, Michel Foucault taught at the Collège de France, perhaps the most prestigious intellectual institution in Europe. Each year, in a series of 12 public lectures, Foucault sought to explain his research of the previous year. These lectures do not reduplicate his published books, although they do have themes in common. The lectures show Foucault ranging freely and conversationally over the implications of his research. In Society Must Be Defended , Foucault deals with the emergence in the early 17th century of a new understanding of society and its relation to war. War was now seen as the permanent basis of all institutions of power, a hidden presence within society that could be deciphered by an historical analysis. Tracing this development, Foucault outlines a genealogy of power/knowledge that was to become a primary concern in his final years."
"Power/Knowledge: Selected Interviews and Other Writings, 1972-1977",Michel Foucault,,10,/book/show/80373.Power_Knowledge,Michel Foucault,"Librarian note: an alternate cover for this edition can be found here . Michel Foucault has become famous for a series of books that have permanently altered our understanding of many institutions of Western society. He analyzed mental institutions in the remarkable Madness and Civilization ; hospitals in The Birth of the Clinic ; prisons in Discipline and Punish ; and schools and families in The History of Sexuality . But the general reader as well as the specialist is apt to miss the consistent purposes that lay behind these difficult individual studies, thus losing sight of the broad social vision and political aims that unified them. Now, in this superb set of essays and interviews, Foucault has provided a much-needed guide to Foucault. These pieces, ranging over the entire spectrum of his concerns, enabled Foucault, in his most intimate and accessible voice, to interpret the conclusions of his research in each area and to demonstrate the contribution of each to the magnificent - and terrifying - portrait of society that he was patiently compiling. For, as Foucault shows, what he was always describing was the nature of power in society; not the conventional treatment of power that concentrates on powerful individuals and repressive institutions, but the much more pervasive and insidious mechanisms by which power ""reaches into the very grain of individuals, touches their bodies and inserts itself into their actions and attitudes, their discourses, learning processes and everyday lives."" Foucault's investigations of prisons, schools, barracks, hospitals, factories, cities, lodgings, families, and other organized forms of social life are each a segment of one of the most astonishing intellectual enterprises of all time - and, as this book proves, one which possesses profound implications for understanding the social control of our bodies and our minds."
"Aesthetics, Method, and Epistemology",Michel Foucault,,13,/book/show/80386.Aesthetics_Method_and_Epistemology,Michel Foucault,"The definitive edition of Foucault's articles, interviews, and seminars. Few philosophers have had as strong an influence on the twentieth century as Michel Foucault. His work has affected the teaching of any number of disciplines and remains, twenty years after his death, critically important. This newly available edition is drawn from the complete collection of all of Foucault's courses, articles, and interviews, and brings his most important work to a new generation of readers. Aesthetics, Method and Epistemology surveys Foucault's diverse but sustained address of the historical forms and interplay of passion, experience, and truth."
This Is Not a Pipe,Michel Foucault,,3,/book/show/119933.This_Is_Not_a_Pipe,Michel Foucault,"What does it mean to write ""This is not a pipe"" across a bluntly literal painting of a pipe? René Magritte's famous canvas provides the starting point for a delightful homage by French philosopher and historian Michel Foucault. Much better known for his incisive and mordant explorations of power and social exclusion, Foucault here assumes a more playful stance. By exploring the nuances and ambiguities of Magritte's visual critique of language, he finds the painter less removed than previously thought from the pioneers of modern abstraction."
"The Birth of Biopolitics: Lectures at the Collège de France, 1978-1979",Michel Foucault,,36,/book/show/3297693-the-birth-of-biopolitics,Michel Foucault,"Michel Foucault's lectures at the Collège de France in 1979, The Birth of Biopolitics , pursue and develop further the themes of his lectures from the previous year, Security, Territory, Population . Having shown how Eighteenth century political economy marks the birth of a new governmental rationality – seeking maximum effectiveness by governing less and in accordance with the naturalness of the phenomena to be governed – Michel Foucault undertakes the detailed analysis of this liberal governmentality.  This involves describing the political rationality within which the specific problems of life and population were posed:  ""Studying liberalism as the general framework of biopolitics"". What are the specific features of the liberal art of government as they were outlined in the Eighteenth century?  What crisis of governmentality characterises the present world and what revisions of liberal government has it given rise to?  This is the diagnostic task addressed by Foucault's study of the two major twentieth century schools of neo-liberalism:  German ordo-liberalism and the neo-liberalism of the Chicago School.  In the years he taught at the Collège de France, this was Michel Foucault's sole foray into the field of contemporary history.  This course thus raises questions of political philosophy and social policy that are at the heart of current debates about the role and status of neo-liberalism in twentieth century politics.  A remarkable feature of these lectures is their discussion of contemporary economic theory and practice, culminating in an analysis of the model of homo oeconomicus . Foucault's analysis also highlights the paradoxical role played by ""society"" in relation to government.  ""Society"" is both that in the name of which government strives to limit itself, but it is also the target for permanent governmental intervention to produce, multiply, and guarantee the freedoms required by economic liberalism.  Far from being opposed to the State, civil society is thus shown to be the correlate of a liberal technology of government."
Ethics: Subjectivity and Truth,Michel Foucault,,9,/book/show/80379.Ethics,Michel Foucault,"Few philosophers have had as strong an influence on the twentieth century as Michel Foucault. His work has affected the teaching of any number of disciplines and remains, twenty years after his death, critically important. This newly available edition is drawn from the complete collection of all of Foucault's courses, articles, and interviews, and brings his most important work to a new generation of readers. Ethics (edited by Paul Rabinow) contains the summaries of Foucault's renowned courses at the Collège de France, paired with key writings and interviews on friendship, sexuality, and the care of the self and others."
Intolerable: Writings from Michel Foucault and the Prisons Information Group (1970–1980),Michel Foucault,,1,/book/show/53425680-intolerable,Michel Foucault,"A groundbreaking collection of writings by Michel Foucault and the Prisons Information Group documenting their efforts to expose France’s inhumane treatment of prisoners Founded by Michel Foucault and others in 1970–71, the Prisons Information Group (GIP) circulated information about the inhumane conditions within the French prison system. Intolerable makes available for the first time in English a fully annotated compilation of materials produced by the GIP during its brief but influential existence, including an exclusive new interview with GIP member Hélène Cixous and writings by Gilles Deleuze and Jean Genet.  These archival documents—public announcements, manifestos, reports, pamphlets, interventions, press conference statements, interviews, and round table discussions—trace the GIP’s establishment in post-1968 political turmoil, the new models of social activism it pioneered, the prison revolts it supported across France, and the retrospective assessments that followed its denouement. At the same time, Intolerable offers a rich, concrete exploration of Foucault’s concept of resistance, providing a new understanding of the arc of his intellectual development and the genesis of his most influential book, Discipline and Punish . Presenting the account of France’s most vibrant prison resistance movement in its own words and on its own terms, this significant and relevant collection also connects the approach and activities of the GIP to radical prison resistance movements today."
Michel Foucault,Christopher Watkin,,2,/book/show/43467209-michel-foucault,Michel Foucault,"Michel Foucault (1926–1984) Hugely influential, Michel Foucault’s work has not only impacted a diverse range of disciplines—from history and sociology to fine arts, feminism, and gay and lesbian studies—but has also profoundly shaped Western culture at a street level. Yet until now there has been no overarching systematic approach to his work from a Reformed perspective—let alone one that is as fair and accessible as Watkin’s. After walking us through key elements of Foucault’s thought, Watkin both critiques and answers Foucault through the Bible’s teaching on history, power, and identity. His insights are necessary reading for anyone who wants to engage thoughtfully with the ideas of our culture."
"Security, Territory, Population: Lectures at the Collège de France, 1977-1978",Michel Foucault,,30,/book/show/119562.Security_Territory_Population,Michel Foucault,"Marking a major development in Foucault's thinking, this book derives from the lecture course which he gave at the Collège de France between January and April, 1978. Taking as his starting point the notion of 'bio-power', introduced both in his 1976 course Society Must be Defended and in the first volume of his History of Sexuality , Foucault sets out to study the foundations of this new technology of power over population. Distinct from disciplinary techniques, the mechanisms of power are here finely entwined with technologies of security, and it is to the 18th century developments of these technologies with which the first chapters of the book are concerned. By the fourth lecture however Foucault's attention turns, focusing newly on a history of 'governmentality' from the first centuries of the Christian era through to the emergence of the modern nation state. As Michel Sennerlart explains in his afterword, the effect of this change of direction is to ""shift the center of gravity of the lectures from the question of biopower to that of government, to such an extent that the latter almost entirely eclipses the former..."" Consequently, in light of Foucault's later work, these lectures represent a radical turning point at which the transition to the problematic of the ""government of self and others"" begins."
Michel Foucault: Key Concepts,Dianna Taylor,,11,/book/show/10393363-michel-foucault,Michel Foucault,"Michel Foucault was one of the twentieth century's most influential and provocative thinkers. His work on freedom, subjectivity, and power is now central to thinking across an extraordinarily wide range of disciplines, including philosophy, history, education, psychology, politics, anthropology, sociology, and criminology. Michel Foucault: Key Concepts explores Foucault's central ideas, such as disciplinary power, biopower, bodies, spirituality, and practices of the self. Each essay focuses on a specific concept, analyzing its meaning and uses across Foucault's work, highlighting its connection to other concepts, and emphasizing its potential applications. Together, the chapters provide the main co-ordinates to map Foucault's work. But more than a guide to the work, Michel Foucault: Key Concepts introduces readers to Foucault's thinking, equipping them with a set of tools that can facilitate and enhance further study."
"The Essential Foucault: Selections from the Essential Works of Foucault, 1954-1984",Michel Foucault,,3,/book/show/80378.The_Essential_Foucault,Michel Foucault,"Few philosophers have had as significant an impact on contemporary thought as Michel Foucault. His complete uncollected writings, under the title Dits et écrits , were published in French in 1994 and in a three volume series from The New Press that brought the most important of these works—courses, articles, and interviews, many of them translated into English for the first time—to American readers. Now, Paul Rabinow and Nikolas Rose have collected the best pieces from the three-volume set into a one-volume anthology. The Essential Foucault , which features a new and provocative introduction by Rabinow and Rose, is certain to become the standard text for all those interested in a comprehensive overview of Foucault’s thought."
"Language, Counter-Memory, Practice: Selected Essays and Interviews",Michel Foucault,,7,/book/show/218870.Language_Counter_Memory_Practice,Michel Foucault,"Because of their range, brilliance, and singularity, the ideas of the philosopher-critic-historian Michel Foucault have gained extraordinary currency throughout the intellectual community. This book offers a selection of seven of Foucault's most important published essays, translated from the French, with an introductory essay and notes by Donald F. Bouchard. Also included are a summary of a course given by Foucault at Collège de France, the transcript of a conversation between Foucault and Gilles Deleuze, and an interview with Foucault that appeared in the journal Actuel ."
"The Hermeneutics of the Subject: Lectures at the Collège de France, 1981-82",Michel Foucault,,24,/book/show/80385.The_Hermeneutics_of_the_Subject,Michel Foucault,"The Hermeneutics of the Subject is the third volume in the collection of Michel Foucault's lectures at the Collège de France, where faculty give public lectures on any topic of their choosing. Attended by thousands, Foucault's lectures were seminal events in the world of French letters, and his ideas expressed there remain benchmarks of contemporary critical inquiry. Foucault's wide-ranging lectures at this school, delivered throughout the 1970s and early 1980s, clearly influenced his groundbreaking books, especially The History of Sexuality and Discipline and Punish . In the lectures comprising this volume, Foucault focuses on how the ""self"" and the ""care of the self"" were conceived during the period of antiquity, beginning with Socrates. The problems of the ethical formation of the self, Foucault argues, form the background for our own questions about subjectivity and remain at the center of contemporary moral thought. This series of lectures continues to throw new light on Foucault's final works, and shows the full depth of his engagement with ancient thought. Lucid and provocative, The Hermeneutics of the Subject reveals Foucault at the height of his powers."
The Politics of Truth,Michel Foucault,,5,/book/show/218863.The_Politics_of_Truth,Michel Foucault,"In 1784, the German newspaper Berlinische Monatsschrift asked its audience to reply to the question ""What is Enlightenment?"" Immanuel Kant took the opportunity to investigate the purported truths and assumptions of his age. Two hundred years later, Michel Foucault wrote a response to Kant's initial essay, positioning Kant as the initiator of the discourse and critique of modernity. The Politics of Truth takes this initial encounter between Foucault and Kant, as a framework for its selection of unpublished essays and transcripts of lectures Foucault gave in America and France between 1978 and 1984, the year of his death. Ranging from reflections on the Enlightenment and revolution to a consideration of the Frankfurt School, this collection offers insight into the topics preoccupying Foucault as he worked on what would be his last body of published work, the three-volume History of Sexuality . It also offers what is in a sense the most ""American"" moment of Foucault's thinking, for it was in America that he realized the necessity of tying his own thought to that of the Frankfurt School."
"Confessions of the Flesh: The History of Sexuality, Volume 4",Michel Foucault,,4,/book/show/54009328-confessions-of-the-flesh,Michel Foucault,"The final major work by one of the most influential thinkers of the twentieth century Foucault's History of Sexuality changed the way we think about power, selfhood and sexuality forever. Arguing that sexuality is profoundly shaped by the power structures applied to it, the series is one of his most important and far-reaching works. In this fourth and final volume, Foucault turns his attention to early Christianity, exploring how ancient ideas of pleasure were modified into the Christian notion of the 'flesh' - a transformation that would define the Western experience of sexuality and subjectivity. Completed at Foucault's death, the manuscript of this volume was locked away in a bank vault for three decades. Now for the first time, the work is available to English-language readers as the author originally conceived it."
"I, Pierre Rivière, having slaughtered my mother, my sister, and my brother...: A Case of Parricide in the 19th Century",Michel Foucault,,43,/book/show/304049.I_Pierre_Rivi_re_having_slaughtered_my_mother_my_sister_and_my_brother_,Michel Foucault,"To free his father and himself from his mother's tyranny, Pierre Rivière decided to kill her. On June 3,1835, he went inside his small Normandy house with a pruning hook and cut to death his mother, his eighteen-year-old sister, and his seven-year-old brother. Then, in jail, he wrote a memoir to justify the whole gruesome tale. Michel Foucault, author of Madness and Civilization and Discipline and Punish , collected the relevant documents of the case, including medical and legal testimony, police records. and Rivière's memoir. The Rivière case, he points out, occurred at a time when many professions were contending for status and power. Medical authority was challenging law, branches of government were vying. Foucault's reconstruction of the case is a brilliant exploration of the roots of our contemporary views of madness, justice, and crime."
Michel Foucault: Genealogy as Critique,Rudi Visker,,6,/book/show/257777.Michel_Foucault,Michel Foucault,"The reception of Michel Foucault’s work has often been divided between two unsatisfactory alternatives. On the one had there are those who admire the detail of his concrete analysis, but wonder how the political and ethical commitments they seem to rely on can be justified. On the other, there are those who deny the need for normative foundations, but also find it difficult to explain what makes Foucault’s archaeologies and genealogies critical. Rudi Visker’s book is not only a lucid and elegant survey of Foucault’s corpus, from his early work on madness to the History of Sexuality , but also a major intervention in this debate. Reading Foucault against the Heideggarian backdrop to his work, Visker shows that Foucault’s target is not order as such, but rather the production of ordering systems which cannot acknowledge their own conditions of possibility. Exploring along the way such intriguing issues as the ambivalence of Foucault’s concepts of truth and power, and his philosophically provocative use of quotation marks, Visker portrays Foucault as neither relativist nor positivist, neither activist nor detached observer. Instead, Foucault emerges as the inventor of a new analysis of our modern mechanisms of control and precisely of ‘genealogy as critique’."
The Foucault Effect: Studies in Governmentality,Michel Foucault,,8,/book/show/80380.The_Foucault_Effect,Michel Foucault,"With Two Lectures by and an Interview with Michel Foucault Based on Michel Foucault's 1978 and 1979 lectures at the Collège de France on governmental rationalities and his 1977 interview regarding his work on imprisonment, this volume is the long-awaited sequel to Power/Knowledge . In these lectures, Foucault examines the art or activity of government both in its present form and within a historical perspective as well as the different ways governmentality has been made thinkable and practicable. Foucault's thoughts on political discourse and governmentality are supplemented by the essays of internationally renowned scholars. United by the common influence of Foucault's approach, they explore the many modern manifestations of government: the reason of state, police, liberalism, security, social economy, insurance, solidarity, welfare, risk management, and more. The central theme is that the object and the activity of government are not instinctive and natural things, but things that have been invented and learned. The Foucault Effect analyzes the thought behind practices of government and argues that criticism represents a true force for change in attitudes and actions, and that extending the limits of some practices allows the invention of others. This unique and extraordinarily useful collection of articles and primary materials will open the way for a whole new set of discussions of the work of Michel Foucault as well as the status of liberalism, social policy, and insurance."
"Lectures on the Will to Know: Lectures at the Collège de France, 1970-1971, & Oedipal Knowledge",Michel Foucault,,16,/book/show/16059397-lectures-on-the-will-to-know,Michel Foucault,"Lectures on the Will to Know reminds us that Michel Foucault's work only ever had one object: truth. Here, he builds on his earlier work, Discipline and Punish , to explore the relationship between tragedy, conflict, and truth-telling. He also explores the different forms of truth-telling, and their relation to power and the law. The publication of Lectures on the Will to Know marks a milestone in Foucault's reception, and it will no longer be possible to read him in the same way as before."
"Of Other Spaces, Heterotopias",Michel Foucault,,18,/book/show/23696520-of-other-spaces-heterotopias,Michel Foucault,"This text, entitled Des Espace Autres , and published by the French journal Architecture /Mouvement/ Continuité in October, 1984, was the basis of a lecture given by Michel Foucault in March 1967. Although not reviewed for publication by the author and thus not part of the official corpus of his work, the manuscript was released into the public domain for an exhibition in Berlin shortly before Michel Foucault's death."
"Abnormal: Lectures at the Collège de France, 1974-1975",Michel Foucault,,37,/book/show/211290.Abnormal,Michel Foucault,"From 1971 until his death in 1984, Foucault gave public lectures at the world-famous College de France. Attended by thousands, these were seminal events in the world of French letters. Picador is proud to be publishing the lectures in thirteen volumes. The lectures comprising Abnormal begin by examining the role of psychiatry in modern criminal justice, and its method of categorizing individuals who ""resemble their crime before they commit it."" Building on the themes of societal self-defense in Society Must Be Defended , Foucault shows how and why defining ""abnormality"" and ""normality"" were preorogatives of power in the nineteenth century. The Collège de France lectures add immeasurably to our appreciation of Foucault's work and offer a unique window into his thinking."
"Psychiatric Power: Lectures at the Collège de France, 1973-1974",Michel Foucault,,24,/book/show/119570.Psychiatric_Power,Michel Foucault,"In Psychiatric Power , the fourth volume in the collection of his groundbreaking lectures at the Collège de France, Michel Foucault addresses and expands upon the ideas in his seminal Madness and Civilization , sketching the genealogy of psychiatry and of its characteristic form of power/knowledge. Madness and Civilization undertook the archeology of the division according to which, in Western Society, the madman found himself separated from the sane. That book ends with the medicalization of madness at the beginning of the nineteenth century. Psychiatric Power continues this discourse up to the end of the nineteenth century, and the double ""depsychiatrization"" of madness, now dispersed between the neurologist and the psychoanalyst. Presented in a conversational tone, Psychiatric Power brings fresh access and light to the work of one of the past century's preeminent thinkers."
A Macat Analysis of Michel Foucault's Discipline and Punish: The Birth of the Prison,Meghan Kallman,,2,/book/show/30111236-a-macat-analysis-of-michel-foucault-s-discipline-and-punish,Michel Foucault,"How do those in power exercise that power over a state’s citizens? French thinker Michel Foucault’s 1975 work Discipline and Punish looks to answer this question by investigating the prison system. Foucault does not believe that the modern-day system developed out of reformers’ humanitarian concerns. He argues that prison both created and then became part of a bigger system of surveillance that extends throughout society. Power is no longer exerted directly through violence. Prisoners who were once executed are now far more likely to be monitored and controlled. And the fear of being constantly watched leads prisoners to self-regulate; to behave in ways those in power approve of. This insidious method has moved way beyond the bounds of the prison walls. It is now a part of many aspects of our lives, inflicted on us in many places. Surveillance—or systematic monitoring—by government institutions produces “docile bodies,” which Foucault defines as bodies that can be monitored and psychologically controlled, and that are then trained to self-govern. We have become the sum of what we abstain from doing for fear of being seen, judged, or punished."
Mental Illness and Psychology,Michel Foucault,,32,/book/show/1190469.Mental_Illness_and_Psychology,Michel Foucault,"This seminal early work of Foucault is indispensable to understanding his development as a thinker. Written in 1954 and revised in 1962, Mental Illness and Psychology delineates the shift that occurred in Foucault's thought during this period. The first iteration reflects the philosopher's early interest in and respect for Freud and the psychoanalytic tradition. The second part, rewritten in 1962, marks a dramatic change in Foucault's thinking. Examining the history of madness as a social and cultural construct, he moves outside of the psychoanalytic tradition into the radical critique of Freud that was to dominate his later work. Mental Illness and Psychology is an important document tracing the intellectual evolution of this influential thinker. A foreword by Foucault scholar Hubert Dreyfus situates the book within the framework of Foucault's entire body of work."
Death and the Labyrinth: The World of Raymond Roussel,Michel Foucault,,25,/book/show/337467.Death_and_the_Labyrinth,Michel Foucault,"Death and the Labyrinth in unique, being Foucault's only work on literature. For Foucault this was ""by far the book I wrote most easily and with the greatest pleasure"". Here, Foucault explores theory, criticism and psychology through the texts of Raymond Roussel, one of the fathers of experimental writing, whose work has been celebrated by the likes of Cocteau, Duchamp, Breton, Robbe Grillet, Gide and Giacometti. This revised edition includes an Introduction, Chronology and Bibliography to Foucault's work by James Faubion, an interview with Foucault, conducted only nine months before his death, and concludes with an essay on Roussel by the poet John Ashbery."
The Impact of Michel Foucault on the Social Sciences and Humanities,Moya Lloyd,,3,/book/show/15203900-the-impact-of-michel-foucault-on-the-social-sciences-and-humanities,Michel Foucault,"This book provides a welcome assessment of the wide-ranging impact of Michel Foucault's work upon a number of disciplines within the social sciences and humanities. It offers close textual readings of Foucault's work along with clear overviews of how his work has been taken up in subjects such as history, philosophy and international relations. It also offers original applications of his work to important topics within feminist theory, political theory, the sociology of race, and socio-legal studies."
"Active Intolerance: Michel Foucault, the Prisons Information Group, and the Future of Abolition",Perry Zurn,,5,/book/show/25993480-active-intolerance,Michel Foucault,"This book is an interdisciplinary collection of essays on Le Groupe d'information sur les prisons (The Prisons Information Group, or GIP). The GIP was a radical activist group, extant between 1970 and 1973, in which Michel Foucault was heavily involved. It aimed to facilitate the circulation of information about living conditions in French prisons and, over time, it catalyzed several revolts and instigated minor reforms. In Foucault's words, the GIP sought to identify what was 'intolerable' about the prison system and then to produce 'an active intolerance' of that same intolerable reality. To do this, the GIP 'gave prisoners the floor,' so as to hear from them about what to resist and how. The essays collected here explore the GIP's resources both for Foucault studies and for prison activism today."
A Macat analysis of Michel Foucault’s The History of Sexuality Vol. 1: The Will to Knowledge,Chiara Briganti,,3,/book/show/30976636-a-macat-analysis-of-michel-foucault-s-the-history-of-sexuality-vol-1,Michel Foucault,"Michel Foucault had already written extensively about medicine, madness, and prisons. But in the latter days of his career he turned to the subject of sexuality, planning six volumes on the subject. He completed three before dying of an AIDS-related illness in 1984. Foucault’s History of Sexuality Vol. 1 is a study of the evolution of cultural ideas about sex in the West since the end of the seventeenth century. Volume 2 looked at attitudes toward sex in ancient Greece; Volume 3 investigated sex in ancient Rome. Like Foucault’s earlier works, The History of Sexuality Vol. 1 was groundbreaking and controversial. He challenged the accepted idea that the rise of modernity and capitalism led to moves to repress talk about sex. On the contrary, according to Foucault, sex became the object of scientific study and sexual practices were labeled either “normal” or “deviant.” Governments passed laws regulating sexual practices, thereby strengthening control over their citizens. Foucault claims sexuality is not so much the result of biological instincts as it is a social concept. He has since become a key influence in gender and gay studies."
Manet and the Object of Painting /anglais,Foucault Michel,,14,/book/show/6855197-manet-and-the-object-of-painting-anglais,Michel Foucault,"In this encounter between one of the 20th century's greatest minds and an artist fundamental to the development of modern art, French philosopher Michel Foucault explores Edouard Manet's importance in the overthrow of traditional values in painting. Originally delivered in Tunis in 1971 as part of a conference on Manet and here translated into English for the first time, this powerful critique takes the form of a commentary on 13 of Manet's paintings. For the political-minded philosopher, the connection between visual art and power was clear: art is not an aesthetic pursuit, but a means to explore and challenge power dynamics. A precursor to Foucault's later work on le regard , or the gaze, the text examines paintings like Un Bar aux Folies-Bergère , where Manet used the mirror to imply the multiple gaze of the waitress, the viewer, and the man at the bar, who may or may not be the artist himself. Foucault used Manet as a basis for a wider exploration of culture. With a new introduction by leading French critic and Tate curator Nicolas Bourriaud and a note on the translation by Matthew Barr, this is a major contribution to the fields of both modern philosophy and art history."
"The Punitive Society: Lectures at the Collège de France, 1972-1973",Michel Foucault,,22,/book/show/24804246-the-punitive-society,Michel Foucault,"These thirteen lectures on the 'punitive society,' delivered at the Collège de France in the first three months of 1973, examine the way in which the relations between justice and truth that govern modern penal law were forged, and question what links them to the emergence of a new punitive regime that still dominates contemporary society."
Michel Foucault,Mark Cousins,,4,/book/show/304047.Michel_Foucault,Michel Foucault,"Michel Mark Cousins, Athar Michel St. Martin's FIRST First Edition Thus, First Printing. Published by St. Martin's Press, 1984. Octavo. Paperback. Book is very good. 100% positive feedback. 30 day money back guarantee. NEXT DAY SHIPPING! Excellent customer service. Please email with any questions. All books packed carefully and ship with free delivery confirmation/tracking. All books come with free bookmarks. Ships from Sag Harbor, New York.Seller 306638 Philosophy & Psychology We Buy Books! Collections - Libraries - Estates - Individual Titles. Message us if you have books to sell!"
The Biopolitics of Development: Reading Michel Foucault in the Postcolonial Present,Sandro Mezzadra,,8,/book/show/18268802-the-biopolitics-of-development,Michel Foucault,"This book offers an original analysis and theorization of the biopolitics of development in the postcolonial present, and draws significantly from the later works of Michel Foucault on biopolitics. Foucault’s works have had a massive influence on postcolonial literatures, particularly in political science and international relations, and several authors of this book have themselves made significant contributions to that influence. While Foucault’s thought has been inspirational for understanding colonial biopolitics as well as governmental rationalities concerned with development, his works have too often failed to inspire studies of political subjectivity. Instead, they have been used to stoke the myth of the inevitability of the decline of collective political subjects, often describing an increasingly limited horizon of political possibilities, and provoking a disenchantment with the political itself in postcolonial works and studies. Working against the grain of current Foucauldian scholarship, this book underlines the importance of Foucault’s work for the capacity to recognize how this degraded view of political subjectivity came about, particularly within the framework of the discourses and politics of ‘development’, and with particular attention to the predicaments of postcolonial peoples. It explores how we can use Foucault’s ideas to recover the vital capacity to think and act politically at a time when fundamentally human capacities to think, know and to act purposively in the world are being pathologized as expressions of the hubris and ‘underdevelopment’ of postcolonial peoples. Why and how it is that life in postcolonial settings has been depoliticized to such dramatic effect? The immediacy of these themes will be obvious to anyone living in the South of the world. But within the academy they remain heavily under-addressed. In thinking about what it means to read Michel Foucault today, this book tackles some significant questions and Not simply that of how to explain the ways in which postcolonial regimes of governance have achieved the debasements of political subjectivity they have; nor that of how we might better equip them with the means to suborn the life of postcolonial peoples more fully; but that of how such peoples, in their subjection to governance, can and do resist, subvert, escape and defy the imposition of modes of governance which seek to remove their lives of those very capacities for resistance, subversion, flight, and defiance."
"Politics, Philosophy, Culture: Interviews and Other Writings, 1977-1984",Michel Foucault,,15,/book/show/304638.Politics_Philosophy_Culture,Michel Foucault,"Politics, Philosophy, Culture contains a rich selection of interviews and other writings by the late Michel Foucault. Drawing upon his revolutionary concept of power as well as his critique of the institutions that organize social life, Foucault discusses literature, music, and the power of art while also examining concrete issues such as the Left in contemporary France, the social security system, the penal system, homosexuality, madness, and the Iranian Revolution."
An Analysis of Michel Foucault's What is an Author?,Tim Smith-Laing,,4,/book/show/39211377-an-analysis-of-michel-foucault-s-what-is-an-author,Michel Foucault,"Michel Foucault’s 1969 essay “What is an Author?” sidesteps the stormy arguments surrounding “intentional fallacy” and the “death of the author,” offering an entirely different way of looking at texts. Foucault points out that all texts are written but not all are discussed as having “authors”. So what is special about “authored” texts? And what makes an “author” different to other kinds of text-producers? From its deceptively simple titular question, Foucault’s essay offers a complex argument for viewing authors and their texts as objects. A challenging, thought-provoking piece, it is one of the most influential literary essays of the twentieth century."
An Analysis of Michel Foucault's The History of Sexuality: Vol. 1: The Will to Knowledge,Rachele Dini,,7,/book/show/37790892-an-analysis-of-michel-foucault-s-the-history-of-sexuality,Michel Foucault,"Michel Foucault is famous as one of the 20th-century’s most innovative and wide-ranging thinkers. The qualities that made him one of the most-read and influential theorists of the modern age find full expression in  History of Sexuality , the last project Foucault was able to complete before his death in 1984. Central to Foucault’s appeal is the creativity of his thought. Creative thinking takes many forms – from redefining an issue in a novel way to making unexpected and illuminating connections. Foucault’s particular talent could perhaps best be described as turning questions inside out. In the case of sexuality, for instance, his interpretation of the historical evidence led him to argue that the sexual categories that we are used to (homosexual, lesbian, straight, and so on) are not “natural,” but constructs that are products of the ways in which power and knowledge interact in society. Such categories, Foucault continues, actually serve to produce the desires they seek to name. And their creation, in turn, is closely linked to the power that society exerts on those who belong to different sexual groups. Foucault’s  ideas – familiar now – were so novel in their time that they proved highly challenging. But to see the world through Foucault’s thought is to see it in a profoundly different and illuminating way – an example of creative thinking at its best."
Michel Foucault and Theology: The Politics of Religious Experience,James William Bernauer,,7,/book/show/304042.Michel_Foucault_and_Theology,Michel Foucault,"Whilst Foucault's work has become a major strand of postmodern theology, the wider relevance of his work for theology still remains largely unexamined. Foucault both engages the Christian tradition and critically challenges its disciplinary regime. Michel Foucault and Theology brings together a selection of essays by leading Foucault scholars on a variety of themes within the history, thought and practice of theology. Revealing the diverse ways that the work of Michel Foucault (1926-1984) has been employed to rethink theology in terms of power, discourse, sexuality and the politics of knowledge, the authors examine power and sexuality in the church in late antiquity, (Castelli, Clark, Schuld), raise questions about the relationship between theology and politics (Bernauer, Leezenberg, Caputo), consider new challenges to the nature of theological knowledge in terms of Foucault's critical project (Flynn, Cutrofello, Beadoin, Pinto) and rethink theology in terms of Foucault's work on the history of sexuality (Carrette, Jordan, Mahon). This book demonstrates, for the first time, the influence and growing importance of Foucault's work for contemporary theology."
"The Force of Truth: Critique, Genealogy, and Truth-Telling in Michel Foucault",Daniele Lorenzini,,4,/book/show/112975290-the-force-of-truth,Michel Foucault,"A groundbreaking examination of Michel Foucault's history of truth. Many blame Michel Foucault for our post-truth and conspiracy-laden society. In this provocative work, Daniele Lorenzini argues that such criticism fundamentally misunderstands the philosopher’s project. Foucault did not question truth itself but what Lorenzini calls “the force of truth,” or how some truth claims are given the power to govern our conduct while others are not. This interest, Lorenzini shows, drove Foucault to articulate a new ethics and politics of truth-telling precisely in order to evade the threat of relativism. The Force of Truth explores this neglected dimension of Foucault’s project by putting his writings on regimes of truth and parrhesia in conversation with early analytic philosophy and by drawing out the “possibilizing” elements of Foucault’s genealogies that remain vital for practicing critique today."
